MOTIF TF Family
FOXB1_2 FOXB1 FOX
FOXB1_3 FOXB1 FOX
FOXB1_4 FOXB1 FOX
FOXC1_1 FOXC1 FOX
FOXC1_2 FOXC1 FOX
FOXC1_3 FOXC1 FOX
FOXC1_4 FOXC1 FOX
FOXC1_5 FOXC1 FOX
FOXC1_6 FOXC1 FOX
FOXC1_7 FOXC1 FOX
FOXC2_1 FOXC2 FOX
FOXC2_2 FOXC2 FOX
FOXC2_3 FOXC2 FOX
FOXD1_1 FOXD1 FOX
FOXD1_2 FOXD1 FOX
FOXD2_1 FOXD2 FOX
FOXD2_2 FOXD2 FOX
FOXD3_1 FOXD3 FOX
FOXD3_2 FOXD3 FOX
FOXD3_3 FOXD3 FOX
FOXD3_4 FOXD3 FOX
FOXF1_1 FOXF1 FOX
FOXF2_1 FOXF2 FOX
FOXF2_2 FOXF2 FOX
FOXG1_1 FOXG1 FOX
FOXG1_2 FOXG1 FOX
FOXG1_3 FOXG1 FOX
FOXG1_4 FOXG1 FOX
FOXG1_5 FOXG1 FOX
FOXI1_1 FOXI1 FOX
FOXI1_2 FOXI1 FOX
FOXI1_3 FOXI1 FOX
FOXI1_4 FOXI1 FOX
FOXJ1_1 FOXJ1 FOX
FOXJ1_2 FOXJ1 FOX
FOXJ2_1 FOXJ2 FOX
FOXJ2_2 FOXJ2 FOX
FOXJ2_3 FOXJ2 FOX
FOXJ2_4 FOXJ2 FOX
FOXJ2_5 FOXJ2 FOX
FOXJ3_1 FOXJ3 FOX
FOXJ3_2 FOXJ3 FOX
FOXJ3_3 FOXJ3 FOX
FOXJ3_4 FOXJ3 FOX
FOXJ3_5 FOXJ3 FOX
FOXJ3_6 FOXJ3 FOX
FOXJ3_7 FOXJ3 FOX
FOXJ3_8 FOXJ3 FOX
FOXK1_1 FOXK1 FOX
FOXK1_2 FOXK1 FOX
FOXK1_3 FOXK1 FOX
FOXK1_4 FOXK1 FOX
FOXL1_1 FOXL1 FOX
FOXL1_2 FOXL1 FOX
FOXL1_3 FOXL1 FOX
FOXL1_4 FOXL1 FOX
FOXL1_5 FOXL1 FOX
FOXM1_1 FOXM1 FOX
FOXN1_1 FOXN1 FOX
FOXO1_1 FOXO1 FOX
FOXO1_2 FOXO1 FOX
